feedback_id,client_id,date_feedback,agence,motif_visite,avec_rendez_vous,temps_attente,note_globale,note_accueil,note_competence_conseiller,note_proprete_locaux,note_accessibilite,reviendrait,commentaire
AGENCE-00035,CLI-78578,2025-07-30,Remich,Souscription nouveau contrat,Oui,5-10 min,4,3,5,4,3,Oui,Accueil chaleureux
AGENCE-00036,CLI-28346,2025-06-15,Dudelange,Demande d'information,Non,< 5 min,3,4,4,3,3,Peut-être,"Agence trop petite, manque de place"
AGENCE-00037,CLI-42410,2025-04-29,Diekirch,Résiliation,Oui,> 30 min,5,5,5,5,4,Oui,"Pas d'attente, service rapide"
AGENCE-00038,CLI-91948,2025-06-03,Wiltz,Déclaration sinistre,Oui,10-15 min,5,5,5,5,5,Oui,Agence bien située et accueillante
AGENCE-00039,CLI-94217,2025-04-26,Diekirch,Demande d'information,Oui,5-10 min,4,3,4,4,3,Oui,Accueil chaleureux
AGENCE-00040,CLI-42205,2025-06-18,Differdange,Souscription nouveau contrat,Non,< 5 min,4,5,3,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00041,CLI-29985,2025-07-12,Remich,Paiement,Oui,5-10 min,5,5,5,4,5,Oui,Personnel compétent et à l'écoute
AGENCE-00042,CLI-44388,2025-09-14,Esch-sur-Alzette,Modification de contrat,Non,15-30 min,5,4,5,5,4,Oui,Accueil chaleureux
AGENCE-00043,CLI-95662,2025-06-20,Luxembourg-Centre,Résiliation,Non,< 5 min,4,3,5,3,4,Oui,"Pas d'attente, service rapide"
AGENCE-00044,CLI-33661,2025-09-27,Differdange,Retrait de documents,Oui,10-15 min,4,4,4,3,3,Oui,Personnel compétent et à l'écoute
AGENCE-00045,CLI-49714,2025-06-19,Luxembourg-Centre,Résiliation,Non,< 5 min,5,5,5,4,4,Oui,Conseiller très professionnel
AGENCE-00046,CLI-49623,2025-05-18,Remich,Souscription nouveau contrat,Oui,> 30 min,2,3,2,1,1,Non,Parking difficile
AGENCE-00047,CLI-27348,2025-09-05,Luxembourg-Centre,Retrait de documents,Oui,< 5 min,3,3,2,2,3,Peut-être,"Agence trop petite, manque de place"
AGENCE-00048,CLI-65189,2025-07-08,Grevenmacher,Paiement,Non,10-15 min,4,3,3,3,3,Oui,Conseiller très professionnel
AGENCE-00049,CLI-12652,2025-10-07,Ettelbruck,Déclaration sinistre,Oui,> 30 min,4,3,4,3,4,Oui,Agence bien située et accueillante
AGENCE-00050,CLI-64315,2025-09-04,Esch-sur-Alzette,Retrait de documents,Oui,> 30 min,5,5,5,5,4,Oui,Conseiller très professionnel
AGENCE-00051,CLI-46381,2025-09-27,Remich,Demande d'information,Non,15-30 min,3,2,2,2,2,Peut-être,"Agence trop petite, manque de place"
AGENCE-00052,CLI-18125,2025-04-25,Grevenmacher,Paiement,Non,< 5 min,4,4,4,3,4,Oui,Personnel compétent et à l'écoute
AGENCE-00053,CLI-72519,2025-06-20,Diekirch,Question/conseil,Non,> 30 min,5,5,5,4,4,Oui,Agence bien située et accueillante
AGENCE-00054,CLI-11479,2025-06-24,Esch-sur-Alzette,Demande d'information,Non,< 5 min,3,2,3,2,2,Peut-être,"Agence trop petite, manque de place"
AGENCE-00055,CLI-63591,2025-10-11,Ettelbruck,Modification de contrat,Oui,5-10 min,4,5,4,3,3,Oui,Agence bien située et accueillante
AGENCE-00056,CLI-57026,2025-09-01,Wiltz,Question/conseil,Oui,5-10 min,5,5,5,5,4,Oui,Accueil chaleureux
AGENCE-00057,CLI-40750,2025-05-10,Diekirch,Retrait de documents,Oui,15-30 min,4,5,3,3,3,Oui,Conseiller très professionnel
AGENCE-00058,CLI-97880,2025-08-22,Esch-sur-Alzette,Souscription nouveau contrat,Oui,15-30 min,3,2,2,2,3,Peut-être,Temps d'attente excessif
AGENCE-00059,CLI-76855,2025-05-05,Luxembourg-Centre,Retrait de documents,Non,10-15 min,3,3,2,3,2,Peut-être,Temps d'attente excessif
AGENCE-00060,CLI-89265,2025-06-22,Remich,Modification de contrat,Non,> 30 min,2,3,3,2,2,Non,Conseiller pressé
AGENCE-00061,CLI-44546,2025-06-29,Luxembourg-Centre,Souscription nouveau contrat,Oui,5-10 min,3,4,2,3,3,Peut-être,Temps d'attente excessif
AGENCE-00062,CLI-44988,2025-08-07,Dudelange,Paiement,Non,15-30 min,5,4,5,5,4,Oui,Conseiller très professionnel
AGENCE-00063,CLI-84776,2025-09-15,Diekirch,Paiement,Non,< 5 min,2,2,2,2,1,Non,Horaires d'ouverture contraignants
AGENCE-00064,CLI-12463,2025-04-25,Diekirch,Paiement,Oui,10-15 min,5,4,5,5,4,Oui,Personnel compétent et à l'écoute
AGENCE-00065,CLI-24600,2025-05-20,Wiltz,Réclamation,Oui,10-15 min,4,5,4,3,4,Oui,Accueil chaleureux
AGENCE-00066,CLI-49381,2025-07-15,Luxembourg-Gare,Déclaration sinistre,Non,10-15 min,4,4,5,3,3,Oui,"Pas d'attente, service rapide"
AGENCE-00067,CLI-60146,2025-08-30,Remich,Réclamation,Non,10-15 min,5,4,5,5,5,Oui,Conseiller très professionnel
AGENCE-00068,CLI-61284,2025-08-03,Ettelbruck,Résiliation,Oui,< 5 min,2,2,2,2,1,Non,Parking difficile
AGENCE-00069,CLI-43810,2025-05-13,Wiltz,Demande d'information,Non,< 5 min,4,3,3,4,3,Oui,"Pas d'attente, service rapide"
AGENCE-00070,CLI-93759,2025-07-16,Esch-sur-Alzette,Souscription nouveau contrat,Non,> 30 min,2,2,3,2,1,Non,Parking difficile
AGENCE-00071,CLI-33193,2025-08-23,Dudelange,Retrait de documents,Non,> 30 min,5,4,4,5,4,Oui,Conseiller très professionnel
AGENCE-00072,CLI-52941,2025-06-10,Luxembourg-Centre,Retrait de documents,Non,15-30 min,2,3,2,1,1,Non,"Agence trop petite, manque de place"
AGENCE-00073,CLI-20129,2025-06-18,Luxembourg-Centre,Rendez-vous conseiller,Oui,< 5 min,4,5,4,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00074,CLI-16464,2025-05-30,Luxembourg-Gare,Retrait de documents,Non,10-15 min,5,5,5,5,4,Oui,"Pas d'attente, service rapide"
AGENCE-00075,CLI-71737,2025-09-16,Ettelbruck,Demande d'information,Non,5-10 min,5,5,5,4,5,Oui,Accueil chaleureux
AGENCE-00076,CLI-60701,2025-08-05,Ettelbruck,Réclamation,Non,5-10 min,4,3,4,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00077,CLI-54558,2025-07-09,Esch-sur-Alzette,Demande d'information,Non,15-30 min,3,4,3,3,3,Peut-être,Horaires d'ouverture contraignants
AGENCE-00078,CLI-83933,2025-09-19,Esch-sur-Alzette,Réclamation,Oui,5-10 min,2,2,3,1,2,Non,Horaires d'ouverture contraignants
AGENCE-00079,CLI-80286,2025-04-22,Remich,Retrait de documents,Non,< 5 min,5,5,5,4,4,Oui,Personnel compétent et à l'écoute
AGENCE-00080,CLI-90177,2025-08-25,Differdange,Déclaration sinistre,Non,15-30 min,4,4,5,4,3,Oui,Personnel compétent et à l'écoute
AGENCE-00081,CLI-94127,2025-09-23,Luxembourg-Centre,Déclaration sinistre,Oui,10-15 min,4,5,4,4,3,Oui,Agence bien située et accueillante
AGENCE-00082,CLI-22928,2025-07-05,Grevenmacher,Modification de contrat,Oui,< 5 min,5,5,5,4,5,Oui,Accueil chaleureux
AGENCE-00083,CLI-96472,2025-06-17,Esch-sur-Alzette,Déclaration sinistre,Oui,15-30 min,4,4,5,4,3,Oui,"Pas d'attente, service rapide"
AGENCE-00084,CLI-80754,2025-07-19,Ettelbruck,Souscription nouveau contrat,Oui,< 5 min,5,5,4,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00085,CLI-23116,2025-07-11,Esch-sur-Alzette,Retrait de documents,Non,10-15 min,5,5,5,5,4,Oui,Agence bien située et accueillante
AGENCE-00086,CLI-51618,2025-05-24,Grevenmacher,Modification de contrat,Non,5-10 min,4,3,3,3,3,Oui,Accueil chaleureux
AGENCE-00087,CLI-66881,2025-07-28,Luxembourg-Gare,Rendez-vous conseiller,Non,< 5 min,5,4,5,5,4,Oui,Accueil chaleureux
AGENCE-00088,CLI-30405,2025-07-14,Ettelbruck,Rendez-vous conseiller,Oui,10-15 min,1,1,1,1,1,Non,Conseiller pressé
AGENCE-00089,CLI-33344,2025-08-01,Dudelange,Question/conseil,Non,5-10 min,3,2,3,2,3,Peut-être,Horaires d'ouverture contraignants
AGENCE-00090,CLI-78804,2025-05-04,Differdange,Résiliation,Non,15-30 min,3,4,3,2,2,Peut-être,Temps d'attente excessif
AGENCE-00091,CLI-53726,2025-08-27,Wiltz,Résiliation,Non,5-10 min,2,2,1,1,2,Non,"Agence trop petite, manque de place"
AGENCE-00092,CLI-41043,2025-08-04,Differdange,Résiliation,Non,5-10 min,4,5,4,4,3,Oui,Conseiller très professionnel
AGENCE-00093,CLI-46431,2025-04-29,Luxembourg-Gare,Question/conseil,Oui,> 30 min,5,5,5,5,4,Oui,Agence bien située et accueillante
AGENCE-00094,CLI-30827,2025-05-08,Esch-sur-Alzette,Retrait de documents,Oui,5-10 min,5,5,5,5,4,Oui,Agence bien située et accueillante
AGENCE-00095,CLI-27149,2025-10-04,Ettelbruck,Modification de contrat,Non,10-15 min,4,4,3,4,3,Oui,"Pas d'attente, service rapide"
AGENCE-00096,CLI-20764,2025-05-31,Luxembourg-Gare,Rendez-vous conseiller,Oui,5-10 min,5,5,5,5,5,Oui,Agence bien située et accueillante
AGENCE-00097,CLI-46277,2025-05-31,Esch-sur-Alzette,Retrait de documents,Non,15-30 min,4,4,3,3,4,Oui,Conseiller très professionnel
AGENCE-00098,CLI-19338,2025-09-06,Luxembourg-Gare,Rendez-vous conseiller,Oui,15-30 min,5,4,5,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00099,CLI-79274,2025-05-16,Remich,Modification de contrat,Non,15-30 min,2,3,1,1,1,Non,Horaires d'ouverture contraignants
AGENCE-00100,CLI-84416,2025-04-25,Luxembourg-Centre,Paiement,Oui,5-10 min,5,5,5,4,5,Oui,Personnel compétent et à l'écoute
AGENCE-00101,CLI-60163,2025-05-15,Luxembourg-Centre,Résiliation,Oui,15-30 min,2,1,1,1,1,Non,Horaires d'ouverture contraignants
AGENCE-00102,CLI-34173,2025-07-07,Dudelange,Résiliation,Non,10-15 min,3,3,3,2,2,Peut-être,Conseiller pressé
AGENCE-00103,CLI-36118,2025-08-21,Luxembourg-Gare,Retrait de documents,Non,5-10 min,4,5,5,3,3,Oui,Accueil chaleureux
AGENCE-00104,CLI-12153,2025-09-25,Luxembourg-Gare,Déclaration sinistre,Non,5-10 min,4,3,4,4,3,Oui,Agence bien située et accueillante
AGENCE-00105,CLI-50971,2025-07-01,Remich,Paiement,Oui,10-15 min,5,5,5,5,4,Oui,Conseiller très professionnel
AGENCE-00106,CLI-63738,2025-05-25,Wiltz,Résiliation,Oui,5-10 min,4,3,3,3,4,Oui,"Pas d'attente, service rapide"
AGENCE-00107,CLI-77022,2025-07-23,Luxembourg-Centre,Paiement,Oui,5-10 min,4,4,5,3,3,Oui,Conseiller très professionnel
AGENCE-00108,CLI-83930,2025-06-01,Dudelange,Réclamation,Oui,15-30 min,4,3,3,4,3,Oui,Personnel compétent et à l'écoute
AGENCE-00109,CLI-78691,2025-07-16,Esch-sur-Alzette,Réclamation,Oui,< 5 min,3,3,2,2,3,Peut-être,Conseiller pressé
AGENCE-00110,CLI-86308,2025-07-18,Grevenmacher,Retrait de documents,Oui,> 30 min,3,3,3,2,2,Peut-être,Temps d'attente excessif
AGENCE-00111,CLI-63448,2025-08-16,Diekirch,Retrait de documents,Oui,10-15 min,3,2,2,3,2,Peut-être,Parking difficile
AGENCE-00112,CLI-84470,2025-10-11,Ettelbruck,Question/conseil,Oui,10-15 min,3,2,4,3,2,Peut-être,Conseiller pressé
AGENCE-00113,CLI-50679,2025-07-28,Diekirch,Modification de contrat,Non,10-15 min,5,5,5,4,5,Oui,Conseiller très professionnel
AGENCE-00114,CLI-19019,2025-08-06,Ettelbruck,Demande d'information,Oui,5-10 min,4,5,5,4,3,Oui,"Pas d'attente, service rapide"
AGENCE-00115,CLI-78089,2025-09-30,Differdange,Réclamation,Oui,< 5 min,4,4,4,4,4,Oui,Accueil chaleureux
AGENCE-00116,CLI-76856,2025-07-01,Remich,Souscription nouveau contrat,Oui,< 5 min,4,4,3,3,3,Oui,Personnel compétent et à l'écoute
AGENCE-00117,CLI-59733,2025-07-15,Diekirch,Demande d'information,Oui,5-10 min,5,4,5,4,5,Oui,Conseiller très professionnel
AGENCE-00118,CLI-37632,2025-05-17,Luxembourg-Gare,Modification de contrat,Oui,< 5 min,5,4,4,4,5,Oui,Personnel compétent et à l'écoute
AGENCE-00119,CLI-69263,2025-09-25,Wiltz,Retrait de documents,Oui,5-10 min,4,4,5,3,3,Oui,Personnel compétent et à l'écoute
AGENCE-00120,CLI-57126,2025-05-28,Esch-sur-Alzette,Déclaration sinistre,Non,> 30 min,3,3,4,3,3,Peut-être,Temps d'attente excessif
AGENCE-00121,CLI-87844,2025-06-20,Esch-sur-Alzette,Question/conseil,Oui,5-10 min,4,3,3,3,3,Oui,Accueil chaleureux
AGENCE-00122,CLI-46486,2025-08-26,Luxembourg-Centre,Modification de contrat,Oui,> 30 min,5,5,4,5,4,Oui,"Pas d'attente, service rapide"
AGENCE-00123,CLI-95041,2025-09-01,Luxembourg-Gare,Déclaration sinistre,Oui,10-15 min,4,5,4,3,4,Oui,Accueil chaleureux
AGENCE-00124,CLI-47373,2025-09-11,Differdange,Rendez-vous conseiller,Oui,> 30 min,2,2,2,1,2,Non,Parking difficile
AGENCE-00125,CLI-85771,2025-09-01,Diekirch,Modification de contrat,Non,15-30 min,4,4,5,4,3,Oui,Agence bien située et accueillante
AGENCE-00126,CLI-72337,2025-06-21,Remich,Résiliation,Oui,10-15 min,3,4,3,3,3,Peut-être,Parking difficile
AGENCE-00127,CLI-92591,2025-06-27,Wiltz,Retrait de documents,Oui,< 5 min,3,4,2,3,2,Peut-être,Temps d'attente excessif
AGENCE-00128,CLI-88503,2025-06-05,Remich,Demande d'information,Oui,15-30 min,3,3,2,3,2,Peut-être,Parking difficile
AGENCE-00129,CLI-36212,2025-08-14,Diekirch,Déclaration sinistre,Non,15-30 min,4,5,4,4,3,Oui,Personnel compétent et à l'écoute
AGENCE-00130,CLI-97196,2025-05-10,Esch-sur-Alzette,Paiement,Oui,< 5 min,4,5,4,4,4,Oui,Agence bien située et accueillante
AGENCE-00131,CLI-95834,2025-06-09,Ettelbruck,Réclamation,Oui,< 5 min,5,5,5,4,5,Oui,Agence bien située et accueillante
AGENCE-00132,CLI-51280,2025-07-29,Luxembourg-Centre,Question/conseil,Non,5-10 min,4,3,3,4,3,Oui,"Pas d'attente, service rapide"
AGENCE-00133,CLI-30420,2025-08-17,Differdange,Question/conseil,Oui,15-30 min,5,4,5,4,5,Oui,Accueil chaleureux
AGENCE-00134,CLI-64714,2025-07-26,Ettelbruck,Paiement,Non,15-30 min,3,3,2,3,3,Peut-être,Parking difficile
AGENCE-00135,CLI-17616,2025-09-19,Diekirch,Réclamation,Non,> 30 min,4,4,3,3,3,Oui,Conseiller très professionnel
AGENCE-00136,CLI-20177,2025-04-28,Diekirch,Question/conseil,Oui,> 30 min,3,2,4,2,2,Peut-être,"Agence trop petite, manque de place"
AGENCE-00137,CLI-28846,2025-05-22,Dudelange,Résiliation,Oui,< 5 min,4,4,4,3,4,Oui,Personnel compétent et à l'écoute
AGENCE-00138,CLI-33553,2025-08-05,Esch-sur-Alzette,Résiliation,Non,5-10 min,5,4,5,4,4,Oui,Conseiller très professionnel
AGENCE-00139,CLI-53926,2025-09-12,Luxembourg-Centre,Demande d'information,Oui,5-10 min,2,3,3,1,2,Non,"Agence trop petite, manque de place"
AGENCE-00140,CLI-66524,2025-05-13,Grevenmacher,Retrait de documents,Oui,> 30 min,5,5,5,5,4,Oui,"Pas d'attente, service rapide"
AGENCE-00141,CLI-50321,2025-10-11,Remich,Modification de contrat,Oui,15-30 min,5,5,4,5,5,Oui,"Pas d'attente, service rapide"
AGENCE-00142,CLI-51826,2025-08-07,Dudelange,Résiliation,Oui,10-15 min,5,4,4,5,5,Oui,Personnel compétent et à l'écoute
AGENCE-00143,CLI-38157,2025-10-03,Differdange,Réclamation,Oui,5-10 min,4,4,3,4,4,Oui,Accueil chaleureux
AGENCE-00144,CLI-96437,2025-09-05,Dudelange,Résiliation,Non,15-30 min,5,5,5,5,5,Oui,Accueil chaleureux
AGENCE-00145,CLI-21079,2025-05-01,Luxembourg-Gare,Retrait de documents,Non,15-30 min,4,3,4,4,3,Oui,Personnel compétent et à l'écoute
AGENCE-00146,CLI-85614,2025-06-26,Luxembourg-Gare,Rendez-vous conseiller,Oui,< 5 min,3,2,4,3,3,Peut-être,"Agence trop petite, manque de place"
AGENCE-00147,CLI-39173,2025-08-24,Esch-sur-Alzette,Déclaration sinistre,Oui,< 5 min,2,3,1,2,1,Non,Horaires d'ouverture contraignants
AGENCE-00148,CLI-39236,2025-08-28,Diekirch,Paiement,Oui,< 5 min,5,5,4,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00149,CLI-15543,2025-06-10,Differdange,Rendez-vous conseiller,Non,> 30 min,5,5,4,4,5,Oui,Personnel compétent et à l'écoute
AGENCE-00150,CLI-43939,2025-08-25,Esch-sur-Alzette,Réclamation,Oui,15-30 min,4,5,3,4,4,Oui,Accueil chaleureux
AGENCE-00151,CLI-68725,2025-05-06,Grevenmacher,Rendez-vous conseiller,Non,< 5 min,5,5,4,5,5,Oui,Personnel compétent et à l'écoute
AGENCE-00152,CLI-14033,2025-07-08,Wiltz,Déclaration sinistre,Oui,5-10 min,4,4,4,3,3,Oui,Agence bien située et accueillante
AGENCE-00153,CLI-50728,2025-07-25,Grevenmacher,Réclamation,Non,10-15 min,4,4,3,4,4,Oui,Conseiller très professionnel
AGENCE-00154,CLI-21789,2025-09-27,Luxembourg-Centre,Question/conseil,Non,> 30 min,1,1,2,1,1,Non,"Agence trop petite, manque de place"
AGENCE-00155,CLI-52152,2025-08-10,Dudelange,Demande d'information,Oui,10-15 min,4,3,3,4,3,Oui,Agence bien située et accueillante
AGENCE-00156,CLI-52256,2025-08-01,Diekirch,Demande d'information,Oui,15-30 min,1,1,2,1,1,Non,Parking difficile
AGENCE-00157,CLI-33738,2025-05-29,Wiltz,Rendez-vous conseiller,Non,> 30 min,5,4,4,5,5,Oui,Conseiller très professionnel
AGENCE-00158,CLI-94665,2025-09-16,Esch-sur-Alzette,Paiement,Non,5-10 min,1,2,1,1,1,Non,"Agence trop petite, manque de place"
AGENCE-00159,CLI-43132,2025-10-10,Diekirch,Modification de contrat,Non,5-10 min,3,3,2,3,3,Peut-être,Temps d'attente excessif
AGENCE-00160,CLI-30261,2025-04-30,Luxembourg-Gare,Modification de contrat,Oui,10-15 min,5,5,4,4,4,Oui,Agence bien située et accueillante
AGENCE-00161,CLI-13087,2025-04-25,Esch-sur-Alzette,Retrait de documents,Non,> 30 min,2,2,1,2,2,Non,"Agence trop petite, manque de place"
AGENCE-00162,CLI-13222,2025-07-09,Ettelbruck,Paiement,Non,> 30 min,5,4,5,5,5,Oui,Conseiller très professionnel
AGENCE-00163,CLI-60637,2025-09-29,Diekirch,Retrait de documents,Non,< 5 min,3,3,3,3,2,Peut-être,Conseiller pressé
AGENCE-00164,CLI-26799,2025-07-28,Wiltz,Rendez-vous conseiller,Non,5-10 min,4,3,5,4,3,Oui,"Pas d'attente, service rapide"
AGENCE-00165,CLI-38070,2025-09-27,Remich,Rendez-vous conseiller,Non,< 5 min,5,5,4,5,5,Oui,Personnel compétent et à l'écoute
AGENCE-00166,CLI-27746,2025-05-19,Ettelbruck,Souscription nouveau contrat,Oui,5-10 min,5,5,5,5,5,Oui,Agence bien située et accueillante
AGENCE-00167,CLI-22464,2025-07-19,Grevenmacher,Paiement,Oui,15-30 min,3,3,4,2,2,Peut-être,Parking difficile
AGENCE-00168,CLI-30650,2025-08-30,Esch-sur-Alzette,Déclaration sinistre,Non,> 30 min,2,2,3,1,2,Non,Conseiller pressé
AGENCE-00169,CLI-82928,2025-05-20,Differdange,Déclaration sinistre,Oui,10-15 min,4,3,4,3,4,Oui,Accueil chaleureux
AGENCE-00170,CLI-40441,2025-09-19,Differdange,Question/conseil,Non,10-15 min,4,4,4,3,3,Oui,Personnel compétent et à l'écoute
AGENCE-00171,CLI-65154,2025-09-09,Ettelbruck,Déclaration sinistre,Oui,> 30 min,4,5,3,4,4,Oui,Accueil chaleureux
AGENCE-00172,CLI-29929,2025-07-28,Luxembourg-Gare,Réclamation,Oui,10-15 min,4,4,4,3,4,Oui,Accueil chaleureux
AGENCE-00173,CLI-95254,2025-07-15,Luxembourg-Centre,Retrait de documents,Non,15-30 min,5,5,5,5,5,Oui,Accueil chaleureux
AGENCE-00174,CLI-84596,2025-09-26,Luxembourg-Gare,Résiliation,Non,> 30 min,4,4,3,3,3,Oui,"Pas d'attente, service rapide"
AGENCE-00175,CLI-91076,2025-05-26,Differdange,Modification de contrat,Non,> 30 min,4,3,3,4,4,Oui,Conseiller très professionnel
AGENCE-00176,CLI-52090,2025-09-05,Wiltz,Réclamation,Oui,10-15 min,5,5,5,5,4,Oui,Accueil chaleureux
AGENCE-00177,CLI-46340,2025-09-09,Wiltz,Rendez-vous conseiller,Oui,> 30 min,1,1,1,1,1,Non,Horaires d'ouverture contraignants
AGENCE-00178,CLI-16335,2025-07-21,Differdange,Déclaration sinistre,Oui,5-10 min,4,4,3,4,3,Oui,Agence bien située et accueillante
AGENCE-00179,CLI-19736,2025-10-09,Luxembourg-Centre,Réclamation,Oui,10-15 min,5,5,5,5,5,Oui,"Pas d'attente, service rapide"
AGENCE-00180,CLI-10422,2025-05-01,Wiltz,Demande d'information,Non,5-10 min,2,3,3,1,1,Non,"Agence trop petite, manque de place"
AGENCE-00181,CLI-34661,2025-10-09,Wiltz,Réclamation,Non,10-15 min,5,5,5,4,5,Oui,Agence bien située et accueillante
AGENCE-00182,CLI-58847,2025-09-30,Luxembourg-Centre,Demande d'information,Non,5-10 min,4,4,3,3,4,Oui,Conseiller très professionnel
AGENCE-00183,CLI-88320,2025-05-19,Grevenmacher,Résiliation,Non,15-30 min,5,5,5,5,4,Oui,Accueil chaleureux
AGENCE-00184,CLI-79694,2025-06-22,Wiltz,Demande d'information,Non,10-15 min,3,2,3,3,2,Peut-être,Conseiller pressé
