ticket_id,resume,description,creation_date,departement
JIRA-0498,Erreur lors de la sauvegarde sur serveur,Impossible de sauvegarder mes documents sur le serveur. Message 'Espace disque insuffisant'.,2025-06-05 11:22:18,Marketing
JIRA-0293,Lenteur importante sur l'application métier,L'application de souscription est extrêmement lente depuis 2 jours. Les temps de chargement dépassent 30 secondes.,2025-06-06 11:22:18,Comptabilité
JIRA-0071,Demande de licence Office supplémentaire,Besoin d'une licence Microsoft Office pour le nouveau stagiaire du service comptabilité.,2025-06-08 11:22:18,Souscription
JIRA-0079,Problème de partage d'écran sur Teams,Impossible de partager mon écran lors des réunions. Option grisée dans Teams.,2025-06-08 11:22:18,Ressources Humaines
JIRA-0180,Problème d'envoi d'emails avec pièces jointes,Impossible d'envoyer des emails avec des pièces jointes supérieures à 5 Mo. Message d'erreur systématique.,2025-06-08 11:22:18,Recouvrement
JIRA-0296,Demande de création de compte utilisateur,Nouveau collaborateur arrivé ce matin. Besoin de créer son compte AD et ses accès aux applications métier.,2025-06-08 11:22:18,Commercial
JIRA-0475,Mot de passe expiré - demande de réinitialisation,Mon mot de passe Active Directory a expiré et je n'arrive pas à le réinitialiser via le portail self-service.,2025-06-08 11:22:18,Direction
JIRA-0044,Problème de connexion à l'intranet,Impossible d'accéder à l'intranet de l'entreprise. Page blanche lors du chargement.,2025-06-09 11:22:18,IT
JIRA-0394,Téléphone fixe sans tonalité,Mon poste téléphonique ne fonctionne plus. Pas de tonalité et impossible de passer/recevoir des appels.,2025-06-09 11:22:18,Souscription
JIRA-0424,Demande de changement de mot de passe messagerie,Suspicion de compromission du compte email. Demande de réinitialisation immédiate.,2025-06-09 11:22:18,Sinistres
JIRA-0054,Problème de certification électronique,Ma signature électronique a expiré. Besoin de renouveler le certificat.,2025-06-10 11:22:18,IT
JIRA-0172,Imprimante du 3ème étage hors service,L'imprimante Canon du service sinistres affiche un message d'erreur et ne répond plus.,2025-06-10 11:22:18,Sinistres
JIRA-0203,Problème de connexion au réseau WiFi,Impossible de se connecter au WiFi d'entreprise. Le réseau est visible mais l'authentification échoue.,2025-06-11 11:22:18,Service Client
JIRA-0322,Problème de partage d'écran sur Teams,Impossible de partager mon écran lors des réunions. Option grisée dans Teams.,2025-06-11 11:22:18,Direction
JIRA-0149,Erreur lors de l'ouverture de fichiers PDF,Adobe Reader affiche 'Le fichier est endommagé' pour tous les PDFs reçus aujourd'hui.,2025-06-13 11:22:18,Commercial
JIRA-0436,Impossibilité de se connecter au VPN,Le client VPN affiche une erreur 'Authentification échouée' alors que mes identifiants sont corrects.,2025-06-13 11:22:18,Recouvrement
JIRA-0219,Demande de licence Office supplémentaire,Besoin d'une licence Microsoft Office pour le nouveau stagiaire du service comptabilité.,2025-06-14 11:22:18,Juridique
JIRA-0257,Impossibilité de se connecter au VPN,Le client VPN affiche une erreur 'Authentification échouée' alors que mes identifiants sont corrects.,2025-06-14 11:22:18,Marketing
